Chunk #,Source Folder,Filename,Preview
1,OpenSciEd,C.4 Teacher Edition.pdf,"Encourage students to respond to and build on each others’ ideas. Affirm that both addressing the root cause and mitigating local impacts are important and urgent, and that science and engineering as well as social and political action are important to help save the oysters, the ecosystems, and the communities connected to oysters. ✱ ✱ ATTENDING TO EQUITY To cultivate critical hope (Duncan-Andrade, 2009) in the face of eco-anxiety, highlight forms of social and political action already underway "
2,NGSS_Documents,A_Framework_for_K12_Science_Education.pdf,"U.S. Global Change Research Program/Climate Change Science Program. (2009). Climate Literacy: The Essential Principles of Climate Sciences. Washington, DC:  Author. Available: http://downloads.climatescience.gov/Literacy/Climate%20 Literacy%20Booklet%20Low-Res.pdf [June 2011]."
3,OpenSciEd,C.4 Teacher Edition.pdf,Crossout explanation: ESS2.D.3 Weather and Climate was first developed in OpenSciEd Unit C.1: How can we slow the flow of energy on Earth to protect vulnerable coastal communities?
4,OpenSciEd,C.5 Teacher Edition.pdf,Personalize. https://www.fueleconomy.gov/feg/Find.do?action=customize&return=https%3 A%2F%2Fwww.fueleconomy.gov%2Ffeg%2FFind.do%3Faction%3Dsbs%26id%3D46970%26%23tab1  For support with emotions and youth during the climate crisis GenDread Climate Crisis emotional support network: https://gendread.substack.com/  For energy stored in fields NRC. (2013).
5,GholdyMuhammad,Cultivating genius_ a four-layered framework for culturally -- Gholdy Muhammad; Bettina L Love.pdf,"What Is Criticality? Criticality is the capacity to read, write, and think in ways of understanding  power, privilege, social justice, and oppression, particularly for populations  who have been historically marginalized in the world (Muhammad, 2018). When youth have criticality, they are able to see, name, and interrogate  the world not only to make sense of injustice but also to work toward  social transformation. Thus, students need spaces to name and critique  injustice and ultimately have t"
6,OpenSciEd,B.2 Teacher Edition.pdf,"Gold, L. James, and L. Zeitz. 2023. Beyond doom and gloom: Teaching climate change to foster empowerment. Connected Science Learning 5 (3). https://www.nsta.org/connected-science-learning/connected-science-learning-may-june-2023/beyond-doom-and-gloom-teaching Hickman, C., E. Marks, P."
7,OpenSciEd,C.5 Teacher Edition.pdf,"Transportation-related carbon emissions. ✱ ATTENDING TO EQUITY While you do not need to read these reflections with the specific aim of giving a grade, you may find that some students demonstrate learning that you did not give them credit for previously. This reflection is also an opportunity for students to show growth in their awareness of issues of social and environmental justice or in their understanding of how science connects to issues of justice in their community and world. openscied.or"
8,OpenSciEd,C.1 Teacher Edition.pdf,"Define the problem. Display slide K and say, I heard many of you consider some great ideas about how we can be respectful when talking about people who have been forced to move. Others have attempted to think about this question too, and there are different terms proposed for this. Let’s take a look at some short excerpts from various sources of information so we can consider some different possibilities for how else we may want to refer to people who have been displaced by climate change. Invit"
9,OpenSciEd,B.1 Teacher Edition.pdf,For more information see http://learninginplaces.org/wp-content/uploads/2 020/08/framework_socioecological-decisionmaking.pdf. Students revisit the definitions they recorded in their personal glossaries for criteria and nature-culture relations and revise as needed. Where We Are NOT Going This lesson does not address the climate change portion of DCI: HS LS2.C.2. This anthropogenic change will be addressed in OpenSciEd Unit B.2: What causes fires in ecosystems to burn and how should we manage th
10,OpenSciEd,C.4 Teacher Edition.pdf,"These global challenges also may have manifestations in local communities. Crossout Explanation: In OpenSciEd Unit C.5: How can chemistry help us evaluate fuels and transportation options to benefit the Earth and our communities? (Fuels Unit), students will examine strategies we are using to generate energy while reducing pollution (carbon dioxide emissions). Later in this unit, students will examine and read about interested parties and develop solutions for a particular community."
